Date,PX_LAST,PX_VOLUME
2/13/15,24682.54,1342651000
2/16/15,24726.53,955266400
2/17/15,24784.88,822900000
2/18/15,24832.08,975873900
2/23/15,24836.76,1050800000
2/24/15,24750.07,1109611000
2/25/15,24778.28,1430570000
2/26/15,24902.06,1859233000
2/27/15,24823.29,1550736000
3/2/15,24887.44,1590818000
3/3/15,24702.78,1546319000
3/4/15,24465.38,1618240000
3/5/15,24193.04,1923405000
3/6/15,24164,1620647000
3/9/15,24123.05,1619496000
3/10/15,23896.98,1521299000
3/11/15,23717.97,1678330000
3/12/15,23797.96,1669135000
3/13/15,23823.21,1585980000
3/16/15,23949.55,1224474000
3/17/15,23901.49,1225389000
3/18/15,24120.08,1720005000
3/19/15,24468.89,1882512000
3/20/15,24375.24,2068119000
3/23/15,24494.51,1506369000
3/24/15,24399.6,1607223000
3/25/15,24528.23,1465237000
3/26/15,24497.08,1387788000
3/27/15,24486.2,1660233000
3/30/15,24855.12,2653732000
3/31/15,24900.89,2636085000
4/1/15,25082.75,1766457000
4/2/15,25275.64,2171940000
4/8/15,26236.86,4228379000
4/9/15,26944.39,5179920000
4/10/15,27272.39,3444498000
4/13/15,28016.34,4873315000
4/14/15,27561.49,3890848000
4/15/15,27618.82,4047946000
4/16/15,27739.71,3370847000
4/17/15,27653.12,3201881000
4/20/15,27094.93,3480293000
4/21/15,27850.49,2822502000
4/22/15,27933.85,2441185000
4/23/15,27827.7,2517736000
4/24/15,28060.98,2488702000
4/27/15,28433.59,2876366000
4/28/15,28442.75,3139667000
4/29/15,28400.34,2159692000
4/30/15,28133,2640487000
5/4/15,28123.82,2061576213
5/5/15,27755.54,2363587948
5/6/15,27640.91,2335575270
5/7/15,27289.97,1953353694
5/8/15,27577.34,1873829325
5/11/15,27718.2,1588622478
5/12/15,27407.18,1577320492
5/13/15,27249.28,2153421355
5/14/15,27286.55,1569291625
5/15/15,27822.28,1808389369
5/18/15,27591.25,1421434400
5/19/15,27693.54,1607686111
5/20/15,27585.05,1515848246
5/21/15,27523.72,1259287129
5/22/15,27992.83,1958107010
5/26/15,28249.86,2754695441
5/27/15,28081.21,1921228303
5/28/15,27454.31,3161524459
5/29/15,27424.19,3144521323
6/1/15,27597.16,2033954629
6/2/15,27466.72,1548454612
6/3/15,27657.47,1876965644
6/4/15,27551.89,3160955677
6/5/15,27260.16,2297819847
6/8/15,27316.28,2465629105
6/9/15,26989.52,2457851940
6/10/15,26687.64,2038529436
6/11/15,26907.85,1722248799
6/12/15,27280.54,1787791616
6/15/15,26861.81,1365682737
6/16/15,26566.7,1816419777
6/17/15,26753.79,1875674622
6/18/15,26694.66,1515415673
6/19/15,26760.53,2574823576
6/22/15,27080.85,1473376061
6/23/15,27333.46,2204232823
6/24/15,27404.97,1710378907
6/25/15,27145.75,1967090988
6/26/15,26663.87,2549895128
6/29/15,25966.98,3116720469
6/30/15,26250.03,2557547929
7/2/15,26282.32,2253035437
7/3/15,26064.11,1947346336
7/6/15,25236.28,3622802792
7/7/15,24975.31,3113799170
7/8/15,23516.56,5609702001
7/9/15,24392.79,4398913793
7/10/15,24901.28,3330797240
7/13/15,25224.01,2190526433
7/14/15,25120.91,2195675636
7/15/15,25055.76,1653068729
7/16/15,25162.78,1429030609
7/17/15,25415.27,1319081419
7/20/15,25404.81,1121901635
7/21/15,25536.43,1160194878
7/22/15,25282.62,1339066505
7/23/15,25398.85,1165582788
7/24/15,25128.51,1169715652
7/27/15,24351.96,2389359626
7/28/15,24503.94,2200232438
7/29/15,24619.45,1392329406
7/30/15,24497.98,1534255930
7/31/15,24636.28,1405914983
8/3/15,24411.42,1512340203
8/4/15,24406.12,1263451837
8/5/15,24514.16,1139607989
8/6/15,24375.28,1007708327
8/7/15,24552.47,1141125815
8/10/15,24521.12,1249120759
8/11/15,24498.21,1658193620
8/12/15,23916.02,1908914929
8/13/15,24018.8,1769840202
8/14/15,23991.03,1235137240
8/17/15,23814.65,1234885168
8/18/15,23474.97,1499327576
8/19/15,23167.85,1973994871
8/20/15,22757.47,2411385791
8/21/15,22409.62,2567643230
8/24/15,21251.57,3690641896
8/25/15,21404.96,3699830004
8/26/15,21080.39,3047501970
8/27/15,21838.54,3291719841
8/28/15,21612.39,3102497279
8/31/15,21670.58,2769722281
9/1/15,21185.43,2222668635
9/2/15,20934.94,2590329959
9/4/15,20840.61,2186517704
9/7/15,20583.52,1707394056
9/8/15,21259.04,2336257133
9/9/15,22131.31,3036728446
9/10/15,21562.5,2157315379
9/11/15,21504.37,2444989022
9/14/15,21561.9,1517642962
9/15/15,21455.23,1394026563
9/16/15,21966.66,2141890009
9/17/15,21854.63,2184153060
9/18/15,21920.83,2118301798
9/21/15,21756.93,1415234766
9/22/15,21796.58,1482637638
9/23/15,21302.91,2375786871
9/24/15,21095.98,1646124034
9/25/15,21186.32,1782429626
9/29/15,20556.6,2615420262
9/30/15,20846.3,2200522380
10/2/15,21506.09,2228057445
10/5/15,21854.5,1514215814
10/6/15,21831.62,1672753138
10/7/15,22515.76,3023530277
10/8/15,22354.91,1990937599
10/9/15,22458.8,2477640043
10/12/15,22730.93,1929755504
10/13/15,22600.46,1763809351
10/14/15,22439.91,1394578076
10/15/15,22888.17,1980232753
10/16/15,23067.37,1982041842
10/19/15,23075.61,1298164684
10/20/15,22989.22,1255015870
10/22/15,22845.37,1416639801
10/23/15,23151.94,1974520780
10/26/15,23116.25,1510497734
10/27/15,23142.73,1579929987
10/28/15,22956.57,1419722417
10/29/15,22819.94,1813427818
10/30/15,22640.04,1584678840
11/2/15,22370.04,1688748057
11/3/15,22568.43,1515018396
11/4/15,23053.57,2684612484
11/5/15,23051.04,1549191418
11/6/15,22867.33,1438134340
11/9/15,22726.77,1592727012
11/10/15,22401.7,1852382711
11/11/15,22352.17,1463160259
11/12/15,22888.92,1901297992
11/13/15,22396.14,2064428305
11/16/15,22010.82,1872622782
11/17/15,22264.25,1678046367
11/18/15,22188.26,1248935935
11/19/15,22500.22,1424210615
11/20/15,22754.72,1268998409
11/23/15,22665.9,1109272955
11/24/15,22587.63,1231708227
11/25/15,22498,1560014504
11/26/15,22488.94,1163327435
11/27/15,22068.32,2107988443
11/30/15,21996.42,2928378649
12/1/15,22381.35,2045652997
12/2/15,22479.69,1722813584
12/3/15,22417.01,1310379953
12/4/15,22235.89,1657650665
12/7/15,22203.22,1330217553
12/8/15,21905.13,1868349663
12/9/15,21803.76,1408185342
12/10/15,21704.61,1638588775
12/11/15,21464.05,1442385606
12/14/15,21309.85,1769092999
12/15/15,21274.37,1624037327
12/16/15,21701.21,1696519419
12/17/15,21872.06,1654596641
12/18/15,21755.56,1829042302
12/21/15,21791.68,1343052341
12/22/15,21830.02,945077247
12/23/15,22040.59,1085656194
12/24/15,22138.13,734829305
12/28/15,21919.62,901160751
12/29/15,21999.62,790490866
12/30/15,21882.15,1091631551
12/31/15,21914.4,525968927
1/4/16,21327.12,1765046166
1/5/16,21188.72,1530665074
1/6/16,20980.81,1702147838
1/7/16,20333.34,3074230711
1/8/16,20453.71,2142405449
1/11/16,19888.5,2193649850
1/12/16,19711.76,1891089823
1/13/16,19934.88,1842340621
1/14/16,19817.41,1838366321
1/15/16,19520.77,1992379031
1/18/16,19237.45,2101680922
1/19/16,19635.81,1881814260
1/20/16,18886.3,2535604839
1/21/16,18542.15,2689118278
1/22/16,19080.51,2462316051
1/25/16,19340.14,1831718123
1/26/16,18860.8,1931180546
1/27/16,19052.45,1989536806
1/28/16,19195.83,2001836923
1/29/16,19683.11,2422862541
2/1/16,19595.5,1645833388
2/2/16,19446.84,1838676552
2/3/16,18991.59,2192281493
2/4/16,19183.09,1605140747
2/5/16,19288.17,1303925887
2/11/16,18545.8,1926229260
2/12/16,18319.58,2082281603
2/15/16,18918.14,1782824768
2/16/16,19122.08,1926970191
2/17/16,18924.57,1741725250
2/18/16,19363.08,1900952600
2/19/16,19285.5,1307927631
2/22/16,19464.09,1244806172
2/23/16,19414.78,1262915148
2/24/16,19192.45,1343007458
2/25/16,18888.75,1439040829
2/26/16,19364.15,1684071151
2/29/16,19111.93,1309736004
3/1/16,19407.46,1519465651
3/2/16,20003.49,2531787186
3/3/16,19941.76,1816160877
3/4/16,20176.7,1966809440
3/7/16,20159.72,1989939097
3/8/16,20011.58,1494130177
3/9/16,19996.26,1240037266
3/10/16,19984.42,1427376252
3/11/16,20199.6,2031676046
3/14/16,20435.34,1776146090
3/15/16,20288.77,1230045322
3/16/16,20257.7,1251242067
3/17/16,20503.81,1748461664
3/18/16,20671.63,2156273606
3/21/16,20684.15,1567123607
3/22/16,20666.75,1343683218
3/23/16,20615.23,1222060853
3/24/16,20345.61,1506101198
3/29/16,20366.3,1344195737
3/30/16,20803.39,2122338809
3/31/16,20776.7,1836089514
4/1/16,20498.92,1684118258
4/5/16,20177,1934750119
4/6/16,20206.67,1379662268
4/7/16,20266.05,1540144648
4/8/16,20370.4,1480012624
4/11/16,20440.81,1272374595
4/12/16,20504.44,1027960405
4/13/16,21158.71,2577672234
4/14/16,21337.81,2117814245
4/15/16,21316.47,1457369960
4/18/16,21161.5,1470972356
4/19/16,21436.21,1507310350
4/20/16,21236.31,1769840685
4/21/16,21622.25,1761976769
4/22/16,21467.04,1322371868
4/25/16,21304.44,1237085129
4/26/16,21407.27,1388439863
4/27/16,21361.6,1285824272
4/28/16,21388.03,1736241587
4/29/16,21067.05,1652720028
5/3/16,20676.94,1760490958
5/4/16,20525.83,1604015937
5/5/16,20449.82,1396883598
5/6/16,20109.87,1779177084
5/9/16,20156.81,1364211842
5/10/16,20242.68,1491676143
5/11/16,20055.29,1379305702
5/12/16,19915.46,1185988899
5/13/16,19719.29,1812885237
5/16/16,19883.95,1532028249
5/17/16,20118.8,1617174525
5/18/16,19826.41,1393386019
5/19/16,19694.33,1183596935
5/20/16,19852.2,1286318866
5/23/16,19809.03,1120199687
5/24/16,19830.43,1210408097
5/25/16,20368.05,2103877355
5/26/16,20397.11,1388673442
5/27/16,20576.77,1661189573
5/30/16,20629.39,1848476415
5/31/16,20815.09,3226368764
6/1/16,20760.98,1466248113
6/2/16,20859.22,2049730195
6/3/16,20947.24,1927107476
6/6/16,21030.22,1475493997
6/7/16,21328.24,1876492785
6/8/16,21297.88,1553072235
6/10/16,21042.64,1691347622
6/13/16,20512.99,2147869291
6/14/16,20387.53,1545072723
6/15/16,20467.52,1782609424
6/16/16,20038.42,1960767185
6/17/16,20169.98,2261478506
6/20/16,20510.2,1614190658
6/21/16,20668.44,1658747520
6/22/16,20795.12,1892647106
6/23/16,20868.34,1715395873
6/24/16,20259.13,4075534613
6/27/16,20227.3,1845024525
6/28/16,20172.46,1979364831
6/29/16,20436.12,1614668205
6/30/16,20794.37,2095647622
7/4/16,21059.2,1895189262
7/5/16,20750.72,1263281104
7/6/16,20495.29,1683749434
7/7/16,20706.92,1160174452
7/8/16,20564.17,1231721889
7/11/16,20880.5,2060486090
7/12/16,21224.74,2031520916
7/13/16,21322.37,1881684852
7/14/16,21561.06,1999968638
7/15/16,21659.25,1840044491
7/18/16,21803.18,1411100586
7/19/16,21673.2,1296221138
7/20/16,21882.48,1461119643
7/21/16,22000.49,1618305758
7/22/16,21964.27,1155667868
7/25/16,21993.44,1226764955
7/26/16,22129.73,1998203955
7/27/16,22218.99,2019004516
7/28/16,22174.34,1660953385
7/29/16,21891.37,1799493941
8/1/16,22129.14,1872144779
8/3/16,21739.12,1737499703
8/4/16,21832.23,1051032811
8/5/16,22146.09,1199972827
8/8/16,22494.76,1452626088
8/9/16,22465.61,1346653312
8/10/16,22492.43,1612937320
8/11/16,22580.55,2429721440
8/12/16,22766.91,2387659966
8/15/16,22932.51,2573467591
8/16/16,22910.84,2067650234
8/17/16,22799.78,2145682049
8/18/16,23023.16,2400388115
8/19/16,22937.22,2160357413
8/22/16,22997.91,1773882982
8/23/16,22998.93,1568285824
8/24/16,22820.78,1824925515
8/25/16,22814.95,1752811583
8/26/16,22909.54,1649543123
8/29/16,22821.34,1301622100
8/30/16,23016.11,1635903152
8/31/16,22976.88,1932181488
9/1/16,23162.34,2171686384
9/2/16,23266.7,2588173274
9/5/16,23649.55,1974632339
9/6/16,23787.68,1887507462
9/7/16,23741.81,1999666756
9/8/16,23919.34,1738900508
9/9/16,24099.7,2857413181
9/12/16,23290.6,2611808977
9/13/16,23215.76,1666669437
9/14/16,23190.64,1519306338
9/15/16,23335.59,1752486139
9/19/16,23550.45,2116272048
9/20/16,23530.86,1529423415
9/21/16,23669.9,1677700256
9/22/16,23759.8,2404125191
9/23/16,23686.48,1930797550
9/26/16,23317.92,1703887902
9/27/16,23571.9,1872568178
9/28/16,23619.65,1571495840
9/29/16,23739.47,1655751808
9/30/16,23297.15,1726641999
10/3/16,23584.43,982850758
10/4/16,23689.44,1039331147
10/5/16,23788.31,1344968422
10/6/16,23952.5,1774728935
10/7/16,23851.82,1173026346
10/11/16,23549.52,2224047825
10/12/16,23407.05,1896609164
10/13/16,23031.3,2017967288
10/14/16,23233.31,1547184124
10/17/16,23037.54,1156164952
10/18/16,23394.39,1423480671
10/19/16,23304.97,1041154348
10/20/16,23374.4,1124799681
10/24/16,23604.08,1860617182
10/25/16,23565.11,1219507281
10/26/16,23325.43,1061152284
10/27/16,23132.35,1599941295
10/28/16,22954.81,1252620282
10/31/16,22934.54,1338067234
11/1/16,23147.07,1585536753
11/2/16,22810.5,1087131958
11/3/16,22683.51,1167720229
11/4/16,22642.62,1045787008
11/7/16,22801.4,1419473666
11/8/16,22909.47,1046630001
11/9/16,22415.19,3658172222
11/10/16,22839.11,1644312801
11/11/16,22531.09,2170465026
11/14/16,22222.22,1969226121
11/15/16,22323.91,1506649377
11/16/16,22280.53,1659557192
11/17/16,22262.88,1397338738
11/18/16,22344.21,1163675010
11/21/16,22357.78,1412988227
11/22/16,22678.07,1908524874
11/23/16,22676.69,1818770937
11/24/16,22608.49,1173253256
11/25/16,22723.45,1428165263
